notary, total_granted, avg_hours_to_grant, median_hours_to_grant, total_open_issues, avg_hours_open_issues, median_hours_open_issues, total_issues_closed
2021-04-02,1am5UP3RasM4R10,0,,,0,,,2
2021-04-02,andrewxhill,4,8.6,9.4,0,,,23
2021-04-02,ann-shin,3,12.6,12.1,1,7.8,7.8,7
2021-04-02,Broz221,0,,,8,26.4,36.9,7
2021-04-02,Fenbushi-Filecoin,2,10.1,10.1,11,29.7,19.6,30
2021-04-02,jsonsivar,0,,,0,,,13
2021-04-02,MasaakiNawatani,0,,,4,68.0,70.8,7
2021-04-02,neogeweb3,12,19.0,15.8,0,,,21
2021-04-02,ozhtdong,14,16.1,17.9,14,18.6,14.0,39
2021-04-02,philippbanhardt,19,8.2,6.9,3,19.8,24.6,54
2021-04-02,rayshitou,0,,,1,30.1,30.1,8
2021-04-02,Rin-huang,1,63.6,63.6,0,,,1
2021-04-02,s0nik42,2,7.7,7.7,3,9.2,3.7,15
2021-04-02,steven004,5,21.3,13.8,7,32.9,30.5,8
2021-04-08,1am5UP3RasM4R10,0,,,0,,,2
2021-04-08,andrewxhill,4,8.6,9.4,0,,,23
2021-04-08,ann-shin,3,12.6,12.1,1,14.1,14.1,7
2021-04-08,Broz221,0,,,8,32.7,43.2,7
2021-04-08,Fenbushi-Filecoin,3,13.1,14.2,10,37.6,28.5,31
2021-04-08,jsonsivar,0,,,0,,,13
2021-04-08,MasaakiNawatani,0,,,3,73.6,73.4,8
2021-04-08,neogeweb3,12,19.0,15.8,0,,,21
2021-04-08,ozhtdong,14,16.1,17.9,14,24.9,20.3,39
2021-04-08,philippbanhardt,19,8.2,6.9,5,15.2,11.2,54
2021-04-08,rayshitou,0,,,1,36.4,36.4,8
2021-04-08,Rin-huang,1,63.6,63.6,0,,,1
2021-04-08,s0nik42,2,7.7,7.7,3,15.4,10.0,15
2021-04-08,steven004,7,30.5,29.5,4,20.3,19.3,13
